feature,anova_F,anova_p,kruskal_H,kruskal_p,anova_p_holm,kruskal_p_holm
punct_dash,50.65800663310905,5.270573976281917e-16,46.568381742482494,7.723326397142709e-11,8.959975759679259e-14,1.243455549939976e-08
fw_a,39.14484155807249,2.421553757215011e-13,48.1426109880996,3.515319892287052e-11,4.092425849693368e-11,5.694818225505025e-09
pos_aux_ratio,29.778447638635722,6.516409011052554e-11,38.27078437427569,4.893332918820581e-09,1.0947567138568291e-08,7.780399340924724e-07
mtld,26.08054582367809,7.11041801719416e-10,41.49039661147481,9.783062990276467e-10,1.1874398088714247e-07,1.5652900784442346e-07
pos_adv_ratio,25.024154904162494,1.4372996565253343e-09,33.32375270193918,5.8054921561817886e-08,2.385917429832055e-07,9.05656776364359e-06
punct_comma,25.00949501707777,1.4515057894516028e-09,32.220929435225614,1.0076601231185401e-07,2.3949845525951443e-07,1.5618731908337372e-05
ttr,24.77713599479835,1.696803072395135e-09,35.22373058575599,2.2452468061463842e-08,2.7827570387280213e-07,3.5250374856498234e-06
fw_that,21.693287752584766,1.4121118474943937e-08,30.798830078980835,2.0517244024040218e-07,2.3017423114158616e-06,3.159655579702194e-05
hapax_ratio,19.680955153949185,5.910933637082553e-08,29.8121832884097,3.3602117968102804e-07,9.575712492073736e-06,5.141124049119729e-05
std_sent_length,19.61302203213239,6.208036488103582e-08,27.670512129380086,9.804481590213942e-07,9.994938745846768e-06,0.0001490281201712519
fw_not,17.516554967230476,2.8874039301667927e-07,26.54779057711512,1.7187809153895467e-06,4.6198462882668685e-05,0.00025953591822382155
punct_semicolon,14.70399941502857,2.4484817843833814e-06,24.866080809780918,3.984732379700752e-06,0.00038930860371695766,0.0005977098569551128
fw_it,14.29811724174084,3.3585000213612846e-06,22.963500731197684,1.031666132163334e-05,0.000530643003375083,0.0015371825369233677
punct_hyphen,12.998550989683014,9.362714589894311e-06,18.447283089381312,9.867868969741714e-05,0.001469946190613407,0.014355124206984008
fw_while,12.907227857128392,1.0070013127110315e-05,17.917267895299794,0.00012862183794246893,0.0015709220478292091,0.018392922825773057
fw_being,12.045299609468795,2.0127536370938257e-05,22.12499936991217,1.5689800836534404e-05,0.0031197681374954297,0.0023220905238070916
pos_adj_ratio,11.308171486787618,3.666769825652928e-05,18.85094149044886,8.064362956040929e-05,0.005646825531505508,0.011854613545380166
punct_single_quote,10.531870591039567,6.949810503996977e-05,35.282466635987106,2.1802671735346493e-08,0.010633210071115375,3.444822134184746e-06
fw_does,10.450625588375477,7.434251461862395e-05,15.347288907993127,0.0004649203515690122,0.01130006222203084,0.06508884921966171
pos_det_ratio,10.450350159582225,7.435951039723934e-05,14.237310345900106,0.0008098551342075927,0.01130006222203084,0.10933044311802502
fw_on,9.451123245949313,0.00017157573179366823,18.050076520210364,0.00012035820016172197,0.025736359769050234,0.017331580823287965
num_words,9.436818757010155,0.00017365911371835792,14.928272151195126,0.0005732801311722507,0.02587520794403533,0.07853937797059835
fw_after,8.616593580357353,0.0003486213307157418,16.212948724746813,0.0003015802637780328,0.05159595694592979,0.04252281719270262
dale_chall,8.317302045174703,0.00045063831197098464,17.093981559988517,0.00019412839653800223,0.06624383185973474,0.02756623230839632
avg_word_length,7.978211614643686,0.0006036808681084841,18.454509869261482,9.832276854098636e-05,0.08813740674383867,0.014355124206984008
fw_is,7.919040912385721,0.0006353892669120664,13.166006874920441,0.0013836872296546221,0.09213144370224963,0.18264671431441012
pos_pron_ratio,7.787442265595049,0.000712141268472409,15.113532326298328,0.0005225623959603422,0.1025483426600269,0.07263617303848756
fw_been,7.738527360786417,0.0007430246514564338,15.006008721699095,0.00055142519874247,0.10625252515827004,0.07609667742646085
pos_noun_ratio,6.816293189232228,0.001665392232516743,12.377438051351001,0.0020524542112106492,0.2364856970173775,0.2668190474573844
yule_k,6.640819626046641,0.0019446500119472416,14.36358875625723,0.0007603023475068685,0.27419565168456106,0.10340111926093411
discourse_marker_count,6.5446428571428585,0.002117527850370718,12.26254182557818,0.0021738164732190237,0.2964538990519005,0.27741137484785816
discourse_marker_rate,6.363403946518327,0.002487129179514183,12.268568061284652,0.002167276365998892,0.3457109559524714,0.27741137484785816
long_word_ratio,6.2304253511023076,0.0027996472974456377,13.517853643943123,0.0011604739009713567,0.386351327047498,0.1555035027301618
fw_than,6.218853079736811,0.0028286708464152653,11.344677732066108,0.0034398106041933557,0.38752790595889136,0.4299763255241695
fw_this,6.027362038042152,0.0033560743376994245,11.809582925803143,0.002726350266630906,0.45642610992712174,0.34352013359549416
fw_had,5.945881519329578,0.0036099455473048514,9.014260197727985,0.011030070006007805,0.4873426488861549,1.0
fw_which,5.514371179833666,0.005320777483729401,13.49037783302761,0.0011765263930535504,0.7129841828197397,0.1564780102761222
fw_its,5.4330233533580214,0.005726374798852375,11.129537916760247,0.0038304654399571847,0.7616078482473659,0.4673167836747765
pos_verb_ratio,5.267717852028503,0.006650505030514976,9.464050521925667,0.008808613221964906,0.8778666640279769,1.0
