feature,importance_mean,importance_std
punct_dash,50.65800663310905,0.0
fw_a,39.14484155807249,0.0
pos_aux_ratio,29.778447638635722,0.0
mtld,26.08054582367809,0.0
pos_adv_ratio,25.024154904162494,0.0
punct_comma,25.00949501707777,0.0
ttr,24.77713599479835,0.0
fw_that,21.693287752584766,0.0
hapax_ratio,19.680955153949185,0.0
std_sent_length,19.61302203213239,0.0
fw_not,17.516554967230476,0.0
punct_semicolon,14.70399941502857,0.0
fw_it,14.29811724174084,0.0
punct_hyphen,12.998550989683014,0.0
fw_while,12.907227857128392,0.0
fw_being,12.045299609468795,0.0
pos_adj_ratio,11.308171486787618,0.0
punct_single_quote,10.531870591039567,0.0
fw_does,10.450625588375477,0.0
pos_det_ratio,10.450350159582225,0.0
fw_on,9.451123245949313,0.0
num_words,9.436818757010155,0.0
fw_after,8.616593580357353,0.0
dale_chall,8.317302045174703,0.0
avg_word_length,7.978211614643686,0.0
fw_is,7.919040912385721,0.0
pos_pron_ratio,7.787442265595049,0.0
fw_been,7.738527360786417,0.0
pos_noun_ratio,6.816293189232228,0.0
yule_k,6.640819626046641,0.0
discourse_marker_count,6.5446428571428585,0.0
discourse_marker_rate,6.363403946518327,0.0
long_word_ratio,6.2304253511023076,0.0
fw_than,6.218853079736811,0.0
fw_this,6.027362038042152,0.0
fw_had,5.945881519329578,0.0
fw_which,5.514371179833666,0.0
fw_its,5.4330233533580214,0.0
pos_verb_ratio,5.267717852028503,0.0
fw_of,5.260200526838016,0.0
fw_has,5.13427895010456,0.0
pos_part_ratio,5.070979580618772,0.0
fw_here,5.0029092960127945,0.0
fw_out,4.995573070951027,0.0
avg_sent_length,4.91387130656198,0.0
fw_most,4.636080202366192,0.0
fw_what,4.55212577073718,0.0
num_sentences,4.4398351255943025,0.0
fw_during,4.379391520732654,0.0
fw_an,4.368035077085838,0.0
fw_own,4.353036144891128,0.0
fw_because,4.021293814770743,0.0
fw_just,3.996684043498238,0.0
punct_colon,3.9946862427226306,0.0
pos_sconj_ratio,3.9839674260414077,0.0
fw_she,3.9313656969327515,0.0
fw_have,3.9139338861268285,0.0
fw_into,3.716890448533927,0.0
pos_num_ratio,3.6409865593040123,0.0
fw_they,3.5160053370586595,0.0
fw_between,3.50261885592762,0.0
fw_his,3.4574381382162387,0.0
fw_at,3.3710797156066086,0.0
punct_total,3.270382238391584,0.0
fw_more,3.2021708752156135,0.0
fw_them,3.1638632343073145,0.0
fw_doing,2.9165124942971095,0.0
fw_in,2.863230372984566,0.0
fw_to,2.8498918481901816,0.0
fw_other,2.755140447330216,0.0
fw_me,2.7311225220717117,0.0
fw_too,2.6651133713128097,0.0
fw_about,2.6640652943397516,0.0
fw_be,2.6533141149007213,0.0
fw_the,2.5774408869783496,0.0
fw_are,2.573253687387483,0.0
fw_do,2.545223360296837,0.0
punct_period,2.5376189594194223,0.0
fw_again,2.512366384416173,0.0
fw_through,2.490331704217249,0.0
fw_under,2.4685493735787847,0.0
punct_quote,2.462836873473317,0.0
fw_down,2.4150130580562568,0.0
fw_up,2.3802947034024355,0.0
fw_was,2.355121490648948,0.0
fw_same,2.3052656022869176,0.0
fw_such,2.2003713642450933,0.0
fw_now,2.0783834158764187,0.0
fw_our,2.0702209632057493,0.0
punct_ellipsis,2.0603672918662275,0.0
fw_yourself,2.056630674592737,0.0
fw_whom,2.0520390399167896,0.0
fw_some,2.04896808694562,0.0
fw_my,2.026740277788328,0.0
fw_herself,1.8655001872951953,0.0
fw_further,1.863815929111248,0.0
fw_for,1.810540334160236,0.0
fw_very,1.8096756839856283,0.0
fw_but,1.7597765835348513,0.0
fw_were,1.753676384923639,0.0
fw_each,1.7150627958428453,0.0
fw_few,1.65242743813463,0.0
fw_above,1.610452206125633,0.0
fw_as,1.566843193702093,0.0
fw_until,1.551349652162244,0.0
fw_both,1.4448498677919173,0.0
fw_why,1.4308438654691416,0.0
fw_those,1.4272658179999562,0.0
fw_am,1.3950719274249506,0.0
fw_then,1.3697670746450705,0.0
fw_where,1.3160482175784074,0.0
fw_would,1.1903805313001214,0.0
fw_any,1.167029009473921,0.0
